date,time,lat,long,country,city,area,direction,dist,depth,xm,md,richter,mw,ms,mb
1966.08.19,12:03:55 AM,39.21,41.4,turkey,mus,tasci_varto,east,0.1,14.0,5.0,4.7,4.7,5.0,4.7,4.7
1966.08.19,12:41:18 AM,39.13,41.48,turkey,mus,yedikavak_varto,south_west,0.2,50.0,5.0,4.7,4.7,5.0,4.7,4.7
1966.12.30,12:57:09 AM,40.74,30.74,turkey,sakarya,suleymaniye_hendek,south_west,0.2,31.0,4.5,4.3,4.3,4.5,4.2,4.2
1967.05.22,12:46:02 AM,36.59,29.35,turkey,mugla,cobanlar_fethiye,south_west,0.2,54.0,4.9,4.7,4.6,4.9,4.6,4.6
1974.01.26,12:49:20 AM,37.25,29.6,turkey,burdur,kucukalan_cavdir,south_east,0.2,34.0,4.2,4.0,4.0,4.2,3.8,4.1
2017.02.06,12:03:32 AM,39.53,26.12,turkey,canakkale,gulpinar_ayvacik,south_east,0.2,10.8,3.6,0.0,3.6,0.0,0.0,0.0
2014.10.21,12:03:56 AM,38.18,27.11,turkey,izmir,sasal_menderes,south,0.2,17.7,4.1,0.0,4.1,3.8,0.0,0.0
1967.08.14,12:34:20 AM,40.68,30.27,turkey,sakarya,nailiye_sapanca,north_west,0.2,33.0,4.5,4.2,4.2,4.5,4.0,4.4
1970.04.10,12:13:49 AM,39.13,29.31,turkey,kutahya,soguksu_gediz,north_west,0.2,10.0,4.4,4.2,4.2,4.4,4.0,4.3
1970.04.10,12:14:40 AM,39.13,29.31,turkey,kutahya,soguksu_gediz,north_west,0.2,22.0,4.3,4.1,4.2,4.3,3.9,4.2
1974.01.06,12:37:24 AM,38.28,42.92,turkey,van,kazanc_gevas,north_west,0.2,28.0,4.4,4.2,4.4,4.4,4.0,4.3
2003.10.20,12:27:00 AM,38.91,43.66,turkey,van,ovapinar_muradiye,north_west,0.2,9.0,4.9,4.5,0.0,4.9,0.0,4.8
2017.02.28,12:26:40 AM,39.48,26.06,turkey,canakkale,babakale_ayvacik,north_west,0.2,12.4,3.5,0.0,3.5,0.0,0.0,0.0
2017.07.15,12:00:31 AM,38.17,43.23,turkey,van,boyunpinar_catak,north_east,0.2,2.1,3.5,0.0,3.3,3.5,0.0,0.0
1949.05.13,12:14:07 AM,40.94,32.71,turkey,karabuk,incebogaz_eskipazar,west,0.3,20.0,5.3,5.0,5.0,5.3,5.1,5.1
1949.11.28,12:47:18 AM,40.98,30.74,turkey,sakarya,kurudere_karasu,south_west,0.3,10.0,4.9,4.7,4.7,4.9,4.7,4.8
1955.07.16,12:07:17 AM,37.65,27.26,turkey,aydin,yuvaca_soke,south_east,0.3,40.0,6.8,6.4,6.3,6.5,6.8,6.3
2015.03.28,12:08:16 AM,37.48,36.41,turkey,kahramanmaras,bogazoren_andirin,south_east,0.3,7.7,4.1,0.0,4.1,4.1,0.0,0.0
1930.04.09,12:07:46 AM,39.7,34.0,turkey,kirsehir,odemisli_akcakent,north_west,0.3,30.0,5.3,5.0,4.9,5.3,5.0,5.0
1964.06.05,12:11:05 AM,39.13,43.19,turkey,van,yetisen_ercis,north_west,0.3,42.0,4.7,4.5,4.5,4.7,4.4,4.6
1964.06.25,12:11:52 AM,39.13,43.19,turkey,van,yetisen_ercis,north_west,0.3,42.0,4.8,4.7,4.6,4.8,4.6,4.7
1967.06.22,12:24:42 AM,40.88,33.7,turkey,cankiri,sarmasik_ilgaz,north_west,0.3,33.0,4.7,4.5,4.5,4.7,4.4,4.6
